,result_id,Unnamed: 0.1,X,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names,date,year,genres,decade,label,romance,horror,scifi
10,10,3664,1,False,/34Ip9GBeTGDzaE1TuC9EDnfwCfD.jpg,"[12, 10402, 10749]",18978,en,Camelot,King Arthur establishes the ideals and laws of Camelot but is tragically forced to enforce these laws against his own wife.,2.219727,/ysPWtKVOmgiZTAPk2EeeYJXI3GC.jpg,1967-10-25,Camelot,False,6.7,23,"[Adventure, Music, Romance]",1967-10-25,1967,"12, 10402, 10749",1960,romance,1.0,0.0,0.0
11,11,3163,0,False,/u3eM8Z7HhecS2NJrtIIZUK8i51T.jpg,"[12, 18, 36, 10749]",11085,en,Mutiny on the Bounty,"The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",1.981966,/6dEnZkgxpsLQFyxEMdTdV2Fjul9.jpg,1962-11-08,Mutiny on the Bounty,False,6.4,51,"[Adventure, Drama, History, Romance]",1962-11-08,1962,"12, 18, 36, 10749",1960,romance,1.0,0.0,0.0
12,12,3269,6,False,/ar9Ss0oAyCTCKux51L9wjiW5biR.jpg,"[35, 10749, 37]",15263,en,McLintock!,"George Washington McLintock, 'GW' to friends and foes alike, is a cattle baron and the richest man in the territory. He anxiously awaits the return of his daughter Becky who has been away at school for the last two years. He's also surprised to see that his wife Katherine has also returned. She had left him some years before without really explaining what he done but she does make the point of saying that she's returned to take their daughter back to the State Capitol with her. GW is highly respected by everyone around him including the farmers who are pouring into the territories with free grants of land and the Indians who are under threat of being relocated to another reservation. Between his wife, his headstrong daughter, the crooked land agent and the thieving government Indian agent, GW tries to keep the peace and do what is best for everyone.",1.94208,/hfAx4gHuAfURqvQ1LYaJRnS3TAg.jpg,1963-11-13,McLintock!,False,5.9,42,"[Comedy, Romance, Western]",1963-11-13,1963,"35, 10749, 37",1960,romance,1.0,0.0,0.0
13,13,3766,3,False,/65ZUaNP2Az4FjZuhKjAmUUZPrKM.jpg,"[10749, 80, 53, 18]",912,en,The Thomas Crown Affair,The young businessman Thomas Crown is bored and decides to plan a robbery and assigns a professional agent with the right information to the job. However Crown is soon betrayed yet cannot blow his cover because he’s in love.,1.933883,/aUfr466YUS4liJSZ22eJ1JhwsJv.jpg,1968-06-19,The Thomas Crown Affair,False,6.9,78,"[Romance, Crime, Thriller, Drama]",1968-06-19,1968,"10749, 80, 53, 18",1960,romance,1.0,0.0,0.0
14,14,3164,1,False,/12wzwkOOQrob6YHShKYfRTOyALg.jpg,"[18, 10749]",802,en,Lolita,"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter.",1.902037,/heRYtNrkHLj3Lwghr2jPBX7Yc29.jpg,1962-06-13,Lolita,False,7.2,286,"[Drama, Romance]",1962-06-13,1962,"18, 10749",1960,romance,1.0,0.0,0.0
15,15,3065,2,False,/msddXYe2O8VbGhdJMnKLM5J5AFA.jpg,"[10749, 18]",29478,en,A Raisin in the Sun,"Walter Lee Younger is a young man struggling with his station in life. Sharing a tiny apartment with his wife, son, sister and mother, he seems like an imprisoned man. Until, that is, the family gets an unexpected financial windfall...",1.879872,/g0dQDvuUgHtdtZK5Zb4440ISF0V.jpg,1961-05-28,A Raisin in the Sun,False,6.9,22,"[Romance, Drama]",1961-05-28,1961,"10749, 18",1960,romance,1.0,0.0,0.0
16,16,3465,2,False,/16sOEeqUUCaiEnuw35QQvClPYtP.jpg,"[18, 36, 10749, 10752, 12]",42664,en,The War Lord,A knight in the service of a duke goes to a coastal villiage where an earlier attempt to build a defensive castle has failed. He begins to rebuild the duke's authority in the face of the barbarians at the border and is making progress until he falls in love with one of the local women.,1.857283,/yrzF8nRwfrQSvfhXG3JmfCvPjlV.jpg,1965-11-17,The War Lord,False,5.9,12,"[Drama, History, Romance, War, Adventure]",1965-11-17,1965,"18, 36, 10749, 10752, 12",1960,romance,1.0,0.0,0.0
17,17,3767,4,False,/rBMCdAKaUyNtnL8pPrYgTN2La6T.jpg,"[28, 12, 10749]",32726,en,Hellfighters,"The adventures of oil well fire specialist Chance Buckman (based on real-life Red Adair), who extinguishes massive fires in oil fields around the world.",1.811462,/jlms997fM9PrG9YoD2p2UIORQYG.jpg,1968-11-27,Hellfighters,False,6.2,19,"[Action, Adventure, Romance]",1968-11-27,1968,"28, 12, 10749",1960,romance,1.0,0.0,0.0
18,18,3665,2,False,/u36EvB7jqnNDDziczFCashMA3QO.jpg,"[35, 10749]",2984,en,A Countess from Hong Kong,A Russian countess stows away in the stateroom of a married U.S. diplomat bound for New York.,1.79462,/20sih3KIfCERbSb15tLSfzmaAm9.jpg,1967-01-05,A Countess from Hong Kong,False,5.6,28,"[Comedy, Romance]",1967-01-05,1967,"35, 10749",1960,romance,1.0,0.0,0.0
19,19,3066,3,False,/ezJPRHaVXQPFDoR7nOXWhgvV92o.jpg,"[10749, 18, 10402]",33710,en,Paris Blues,"Ram Bowen and Eddie Cook are two expatriate jazz musicians living in Paris where, unlike America at the time, Jazz musicians are celebrated and racism is a non-issue. When they meet and fall in love with two young American girls, Lillian and Connie, who are vacationing in France, Ram and Eddie must decide whether they should move back to America with them, or stay in Paris for the freedom it allows them. Ram, who wants to be a serious composer, finds Paris more exciting than America and is reluctant to give up his music for a relationship, and Eddie wants to stay for the city's more tolerant racial atmosphere.",1.764819,/wmC1KwC9wlMQhfMy678UdQ2duVL.jpg,1961-09-27,Paris Blues,False,5.1,10,"[Romance, Drama, Music]",1961-09-27,1961,"10749, 18, 10402",1960,romance,1.0,0.0,0.0
20,20,2966,3,False,/wjYRvKoVtQjsD1PqVgF7gPtgrkY.jpg,"[10749, 37, 35, 12]",6523,en,North to Alaska,"Sam and George strike gold in Alaska. George sends Sam to Seattle to bring George's fiancé back to Alaska. Sam finds she is already married, and returns instead with Angel. Sam, after trying to get George and Angel together, finally romances Angel, who, in the meantime, is busy fighting off the advances of George's younger brother, Billy.",1.745281,/wwb7gbfTyw9BB4fTNAgpDaHu434.jpg,1960-11-07,North to Alaska,False,5.5,17,"[Romance, Western, Comedy, Adventure]",1960-11-07,1960,"10749, 37, 35, 12",1960,romance,1.0,0.0,0.0
21,21,3364,1,False,/y4WZvqj6a10R7gv1SMaW3eaQxih.jpg,"[12, 10749, 36]",44450,fr,"Angélique, Marquise Des Anges","In 17th-century France, beautiful country maiden Angélique (Michèle Mercier) marries wealthy neighbor Jeoffray de Peyrac (Robert Hossein) out of convenience, but eventually, she falls in love with him. So when Jeoffray is arrested and then vanishes, she bravely sets out to find him. This is the first of many dramas based on Anne and Serge Golon's novels about strong-willed Angélique and her adventures during the reign of Louis XIV, the Sun King.",1.711085,/rPPJDWz3PNZPHjLYs2Z2PLrNn9n.jpg,1964-01-01,Angelique,False,6.8,22,"[Adventure, Romance, History]",1964-01-01,1964,"12, 10749, 36",1960,romance,1.0,0.0,0.0
22,22,3567,4,False,/ilq2p7qQ8QSYcD8V33PMvovBUXN.jpg,"[35, 80, 10749]",3001,en,How to Steal a Million,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.,1.688672,/iwvS2LwATS6vNI0WqZbEc81BOql.jpg,1966-07-13,How to Steal a Million,False,7.4,99,"[Comedy, Crime, Romance]",1966-07-13,1966,"35, 80, 10749",1960,romance,1.0,0.0,0.0
23,23,3768,5,False,/7ELCfuomuupSl3JXocbAaPszLU8.jpg,"[12, 10749, 36]",44446,fr,Angélique et le Sultan,"This film finds Angélique in a North African Muslim kingdom where she is now part of the Sultan's harem. The first part of the film consist of her angrily refusing to be bedded as well as their trying to literally beat some sense into her. It all seems to go on too long and I was surprised that the Sultan simply didn't have her killed. Late in the film, she finally decides to escape with the help of two Christian prisoners.",1.681827,/3bW4RQVAWDX6ucBX9zufO2FN7Vr.jpg,1968-01-01,Angelique and the Sultan,False,6.9,15,"[Adventure, Romance, History]",1968-01-01,1968,"12, 10749, 36",1960,romance,1.0,0.0,0.0
24,24,3366,3,False,/gFIPNGwK3b43zsBjR6cFSXc2OE6.jpg,"[35, 10749]",23574,en,What a Way to Go!,"This black comedy opens with Louisa Foster donating a multimillion dollar check to the IRS. The tax department thinks she's crazy and sends her to a psychiatrist. She then discusses her four marriages, in which all of her husbands became incredibly rich and died prematurely because of their drive to be rich.",1.676632,/rTWNZvWjKOXSMTGXcqXPAEZVOsW.jpg,1964-05-12,What a Way to Go!,False,7.3,12,"[Comedy, Romance]",1964-05-12,1964,"35, 10749",1960,romance,1.0,0.0,0.0
25,25,3769,6,False,/zeHPcfeokKobaI8bTWsDKgWL4NW.jpg,"[9648, 18, 10749, 53, 80]",4191,fr,La mariée était en noir,"Julie Kohler is prevented from suicide by her mother. She leaves the town. She will track down, charm and kill five men who do not know her. What is her goal ? What is her purpose?",1.661729,/iDj7QFYq9YfmUVc1ALanQmYfTaj.jpg,1968-03-22,The Bride Wore Black,False,7.3,30,"[Mystery, Drama, Romance, Thriller, Crime]",1968-03-22,1968,"9648, 18, 10749, 53, 80",1960,romance,1.0,0.0,0.0
26,26,3568,5,False,/mZpfYBp1QdHO2KrTbIQ4zMhQYhs.jpg,"[10749, 35]",1888,en,The Fortune Cookie,"A cameraman is knocked over during a football game. His brother in law as the king of the ambulance chasing lawyers starts a suit while he's still knocked out. The cameraman is against it until he hears that his ex-wife will be coming to see him. He pretends to be injured to get her back, but also sees what the strain is doing to the football player who injured him.",1.655907,/4iaGyJk2OHx6ilNUyymuG61MnHR.jpg,1966-10-19,The Fortune Cookie,False,6.9,36,"[Romance, Comedy]",1966-10-19,1966,"10749, 35",1960,romance,1.0,0.0,0.0
27,27,3770,7,False,/ybVvtVQQ3ACmy4bab9xievII3cG.jpg,"[18, 10749]",6003,en,Romeo and Juliet,"Director Franco Zeffirelli's beloved version of one of the most well-known love stories in the English language. Romeo Montague and Juliet Capulet fall in love against the wishes of their feuding families. Driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy.",1.624526,/eFQo6yVAnveM1lYxbhyiOzFLMQU.jpg,1968-04-03,Romeo and Juliet,False,7.3,106,"[Drama, Romance]",1968-04-03,1968,"18, 10749",1960,romance,1.0,0.0,0.0
28,28,3569,6,False,/dh9enMZThUS0W8cNEIKsaHv1Fi8.jpg,"[35, 10402, 10749]",17768,en,A Funny Thing Happened on the Way to the Forum,A wily slave must unite a virgin courtesan and his young smitten master to earn his freedom.,1.613613,/oaLNX8olrN6M757WbCZOK1hzEDR.jpg,1966-10-16,A Funny Thing Happened on the Way to the Forum,False,6.3,22,"[Comedy, Music, Romance]",1966-10-16,1966,"35, 10402, 10749",1960,romance,1.0,0.0,0.0
29,29,2968,5,False,/pA6VkfuIb0tqnEqzazsYxRyxDt1.jpg,"[35, 10402, 10749]",43029,en,Bells Are Ringing,"Based on the successful 1956 Broadway production of the same name by Betty Comden, Adolph Green, and Jule Styne, the film focuses on Ella Peterson, who works in the basement office of Susanswerphone, a telephone answering service.  Peterson, based on Mary Printz, who worked at Green's service, listens in on others' lives and adds some interest to her own humdrum existence by adopting different identities for her clients. They include an out-of-work Method actor, a dentist with musical yearnings, and in particular playwright Jeffrey Moss, who is suffering from writer's block and desperately needs a muse.",1.582271,/oP5Nmo3LqWurCtpI485qYjGtulm.jpg,1960-06-23,Bells Are Ringing,False,5.2,12,"[Comedy, Music, Romance]",1960-06-23,1960,"35, 10402, 10749",1960,romance,1.0,0.0,0.0
30,30,3667,4,False,/9qSeVaJGjG3qW4ki31DVEsvh2yf.jpg,"[18, 10749]",649,fr,Belle de jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",1.578157,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,1967-05-24,Belle de Jour,False,7.3,131,"[Drama, Romance]",1967-05-24,1967,"18, 10749",1960,romance,1.0,0.0,0.0
31,31,3668,5,False,/9U4dWru2ratYuAEiYbbQkRdyN5w.jpg,"[35, 10749]",17887,en,Barefoot in the Park,"In this film based on a Neil Simon play, newlyweds Corie, a free spirit, and Paul Bratter, an uptight lawyer, share a sixth-floor apartment in Greenwich Village. Soon after their marriage, Corie tries to find a companion for mother, Ethel, who is now alone, and sets up Ethel with neighbor Victor. Inappropriate behavior on a double date causes conflict, and the young couple considers divorce.",1.574131,/6CS1n9tKncLCkNfGVS6I6U98aGt.jpg,1967-05-25,Barefoot in the Park,False,6.8,63,"[Comedy, Romance]",1967-05-25,1967,"35, 10749",1960,romance,1.0,0.0,0.0
32,32,3270,7,False,/uq2KlZazmQIb5Pvqfg4avmPZgYH.jpg,"[18, 35, 10749]",42801,it,"Ieri, oggi, domani","Stories about three very different women and the men they attract. Adelina sells black-market cigarettes in Naples, is married to the unemployed Carmine, and faces a jail sentence. She can avoid it as long as she's pregnant. Several years and seven children later, Carmine is exhausted, so jail looks inescapable as does her contempt for Carmine. In Milan, Anna drives a Rolls, is bored, and picks up a writer. She talks dreamily of running off with him until he dents her car; that gets her emotional attention. Mara, a Roman call girl, turns the head of a naive seminarian, prompting a run-in with his granny and a vow of abstinence. Mara's fizzy lover from Bologna grows impatient.",1.572455,/oD1vb2uqaiFu4c2rnzLXkU17isW.jpg,1963-12-19,"Yesterday, Today and Tomorrow",False,7.4,38,"[Drama, Comedy, Romance]",1963-12-19,1963,"18, 35, 10749",1960,romance,1.0,0.0,0.0
33,33,3868,5,False,/tT80Qx9DZO1LBcf9t1QHByZ6LxZ.jpg,"[28, 35, 18, 10749, 10752]",45522,en,Castle Keep,"During the Battle of the Bulge, an anachronistic count shelters a ragtag squad of Americans in his isolated castle hoping they will defend it against the advancing Germans.",1.549813,/veOIM2GAx1jRLIniEvNEJRubXO5.jpg,1969-10-01,Castle Keep,False,5.1,14,"[Action, Comedy, Drama, Romance, War]",1969-10-01,1969,"28, 35, 18, 10749, 10752",1960,romance,1.0,0.0,0.0
34,34,3271,8,False,/2IxyOwl23YMNajFbXDaqG9NowXf.jpg,"[35, 10749]",2690,en,Irma la Douce,"Nester Patou, a naive police officer, is transferred to the red light district in Paris and organizes a raid on a dodgy hotel running as a brothel - inadvertently disrupting the corrupt system of the police and the pimps union, and netting his station superior. Fired from his job, Nester goes to the local bar for a drink and befriends a pretty young lady named Irma la Douce. Upon realizing she is a prostitute, Nester invents a crazy scheme to keep her from seeing other men.",1.52588,/3RH81SQAINdo7Pmf6EFK3ToWpMK.jpg,1963-06-05,Irma la Douce,False,7.1,50,"[Comedy, Romance]",1963-06-05,1963,"35, 10749",1960,romance,1.0,0.0,0.0
35,35,3772,9,False,/igEqdq4VzVXCKsSmgO5paCSRKwX.jpg,"[18, 10749]",42635,en,"Rachel, Rachel","Rachel is a 35 year old school teacher who has no man in her life and lives with her mother. When a man from the big city returns and asks her out, she begins to have to make decisions about her life and where she wants it to go.",1.523318,/2voZ43BLvEUvxcXCd4TNMZW0g4E.jpg,1968-01-01,"Rachel, Rachel",False,6.0,14,"[Drama, Romance]",1968-01-01,1968,"18, 10749",1960,romance,1.0,0.0,0.0
36,36,3571,8,False,/gAGHThIUR14STHsyqV8eeOcFUor.jpg,"[35, 18, 10749]",15598,en,Alfie,The film tells the story of a young man who leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,1.51692,/79m6E06eSRNxeEJpcYKb6BvntSE.jpg,1966-03-29,Alfie,False,6.4,51,"[Comedy, Drama, Romance]",1966-03-29,1966,"35, 18, 10749",1960,romance,1.0,0.0,0.0
37,37,3067,4,False,/m2wwSKALNrvNYXQK2vwXrcxY4VV.jpg,"[12, 10749]",4153,fr,Les trois mousquetaires: Tome II - La vengeance de Milady,Based on Alexandre Dumas père novel. Part 2.,1.510754,/2JCiQ8AdOQkLNbgDW2menGn36Cw.jpg,1961-10-04,Vengeance of the Three Musketeers,False,7.0,1,"[Adventure, Romance]",1961-10-04,1961,"12, 10749",1960,romance,1.0,0.0,0.0
38,38,3572,9,False,/vIb3wJzHMqVPzOeZMuS7zNWm0IC.jpg,"[35, 10749]",33666,en,The Glass Bottom Boat,"Bruce (Rod Taylor), the owner of a aerospace company, is infatuated with Jennifer (Doris Day) and hires her to be his biographer so that he can be near her and win her affections. Is she actually a Russian spy trying to obtain aerospace secrets?",1.509813,/rEXNI0dCSNJuTOA7Zrzbf0YgY9f.jpg,1966-06-09,The Glass Bottom Boat,False,4.2,11,"[Comedy, Romance]",1966-06-09,1966,"35, 10749",1960,romance,1.0,0.0,0.0
39,39,3167,4,False,/pXHYY6LEsLEUqj7zAXLInXIYvwA.jpg,"[35, 9648, 10749, 53]",49844,en,The Notorious Landlady,"An American junior diplomat in London rents a house from, and falls in love with, a woman suspected of murder.",1.506623,/pcqAkMO5oo4UetpLjM3bXijYyL1.jpg,1962-04-01,The Notorious Landlady,False,6.0,8,"[Comedy, Mystery, Romance, Thriller]",1962-04-01,1962,"35, 9648, 10749, 53",1960,romance,1.0,0.0,0.0
40,40,3671,8,False,/3qLb72ccGmJaFyQ6WOLZDfUbMUu.jpg,"[35, 18, 10749]",1879,en,Guess Who's Coming to Dinner,Matt and Christina Drayton are a couple whose attitudes are challenged when their daughter brings home a fiancé who is black.,1.475514,/bhdXWhembE6a6q11NqpUcEdtAbw.jpg,1967-12-11,Guess Who's Coming to Dinner,False,7.7,121,"[Comedy, Drama, Romance]",1967-12-11,1967,"35, 18, 10749",1960,romance,1.0,0.0,0.0
41,41,3368,5,False,/jNa3W6TGkXSjgju29sh2psetCXg.jpg,"[35, 18, 10402, 10749]",2098,en,Viva Las Vegas,"Lucky Jackson arrives in town with his car literally in tow ready for the first Las Vegas Grand Prix - once he has the money to buy an engine. He gets the cash easily enough but mislays it when the pretty swimming pool manageress takes his mind off things. It seems he will lose both race and girl, problems made more difficult by rivalry from Elmo Mancini, fellow racer and womaniser",1.471969,/9X3bitLpvzdjjZIpeQs9cvNAoVZ.jpg,1964-05-20,Viva Las Vegas,False,5.7,21,"[Comedy, Drama, Music, Romance]",1964-05-20,1964,"35, 18, 10402, 10749",1960,romance,1.0,0.0,0.0
42,42,3369,6,False,/k5LmD06FxzBdf2Po1wWGnOQhqOY.jpg,"[18, 10749]",5967,fr,Les parapluies de Cherbourg,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",1.468822,/ju5W8qvWfjXXGaR7wd9wSyuYXhS.jpg,1964-02-19,The Umbrellas of Cherbourg,False,7.5,78,"[Drama, Romance]",1964-02-19,1964,"18, 10749",1960,romance,1.0,0.0,0.0
43,43,3573,10,False,/ojOSug06e5RNjlB5rFlNZiTzCbt.jpg,"[12, 36, 10749]",22183,fr,Angélique et le roy,"Soon after her latest husband death, the King himself (Louis XIV) meets with our heroine and begs her to help convince the Persian Ambassador to agree to a treaty. However, what they didn't realize was that the handsome Persian was in fact a sexual sadist. So, it is up to the King's half- brother, some Hungarian prince, to save Angélique from the evil troll's clutches.",1.467199,/7yBW0dDh5kYdMnBGPJQhhicbr1L.jpg,1966-01-31,Angelique and the King,False,6.8,18,"[Adventure, History, Romance]",1966-01-31,1966,"12, 36, 10749",1960,romance,1.0,0.0,0.0
44,44,3070,7,False,/qWEwSqEMtInyyuXSws4a3kgEwVu.jpg,"[12, 36, 10749]",105596,fr,"Les Trois Mousquetaires, première époque : Les Ferrets de la reine",Based on Alexandre Dumas père novel. Part 1.,1.466479,/c88nw1I2rAfHFuDoEo3dPH6QtFc.jpg,1961-10-04,The Fighting Musketeers,False,6.5,2,"[Adventure, History, Romance]",1961-10-04,1961,"12, 36, 10749",1960,romance,1.0,0.0,0.0
45,45,3672,9,False,/kaInCoLnja95olB573l3qxFo2zM.jpg,"[12, 35, 10749]",20878,ru,"Кавказская пленница, или Новые приключения Шурика","In this comic but dated story, nerdy Shurik travels to Caucas in search of native legends and folklore. But what he finds is a beautiful girl whom, due to intoxication and deceit of the local ""gang"", he ends up literally stealing for the local deceitful governor. All the time Shurik thinks that it is all just a one old Caucasian custom. When he, finally, realizes what he did he goes out in search for the girl of his dreams. Written by Ptah Hoteb",1.460133,/mCczjUhDmDtcSilAC9Zqw8GC8l2.jpg,1967-04-03,"Kidnapping, Caucasian Style",False,7.7,22,"[Adventure, Comedy, Romance]",1967-04-03,1967,"12, 35, 10749",1960,romance,1.0,0.0,0.0
46,46,2973,10,False,/eS4gx96lUay4dxq7TiQzqwfDUi1.jpg,"[35, 10749]",24014,en,Let's Make Love,"When billionaire Jean-Marc Clement learns that he is to be satirized in an off-Broadway revue, he passes himself off as an actor playing him in order to get closer to the beautiful star of the show, Amanda Dell.",1.456053,/oFLmvjFfscOzgpkvhLTR98rn2Ck.jpg,1960-10-07,Let's Make Love,False,5.7,25,"[Comedy, Romance]",1960-10-07,1960,"35, 10749",1960,romance,1.0,0.0,0.0
