"","genre","top1000id","title","nwords","num","numloc","char","apost","quest","colon","hyph","excl","amper","the_st","sentscore"
"402",1,"402","Employee of the Month",4,0,0,21,0,0,0,0,0,0,0,0
"415",1,"415","The Last Time",3,0,0,13,0,0,0,0,0,0,1,0
"421",1,"421","The Good German",3,0,0,15,0,0,0,0,0,0,1,1
"424",1,"424","A Christmas Wedding",3,0,0,19,0,0,0,0,0,0,0,0
"433",1,"433","Cow Belles",2,0,0,10,0,0,0,0,0,0,0,0
"441",1,"441","Summer '04",2,1,10,10,1,0,0,0,0,0,0,0
"453",1,"453","As You Like It",4,0,0,14,0,0,0,0,0,0,0,1
"455",1,"455","Man, Woman & the Wall",5,0,0,21,0,0,0,0,0,1,0,0
"458",1,"458","The Ultimate Gift",3,0,0,17,0,0,0,0,0,0,1,0
"463",1,"463","I Want Someone to Eat Cheese With",7,0,0,33,0,0,0,0,0,0,0,0
"478",1,"478","Man About Town",3,0,0,14,0,0,0,0,0,0,0,0
"480",1,"480","Novel Romance",2,0,0,13,0,0,0,0,0,0,0,0
"491",1,"491","Jade Warrior",2,0,0,12,0,0,0,0,0,0,0,0
"498",1,"498","Wedding Daze",2,0,0,12,0,0,0,0,0,0,0,-1
"514",1,"514","Dreamland",1,0,0,9,0,0,0,0,0,0,0,1
"519",1,"519","Still Life",2,0,0,10,0,0,0,0,0,0,0,0
"521",1,"521","The Elder Son",3,0,0,13,0,0,0,0,0,0,1,0
"530",1,"530","Heavenly Forest",2,0,0,15,0,0,0,0,0,0,0,0
"534",1,"534","A Love to Keep",4,0,0,14,0,0,0,0,0,0,0,1
"543",1,"543","The Celestine Prophecy",3,0,0,22,0,0,0,0,0,0,1,0
"547",1,"547","Golden Door",2,0,0,11,0,0,0,0,0,0,0,0
"549",1,"549","Another Gay Movie",3,0,0,17,0,0,0,0,0,0,0,0
"584",1,"584","Time",1,0,0,4,0,0,0,0,0,0,0,0
"595",1,"595","Daisy",1,0,0,5,0,0,0,0,0,0,0,0
"599",1,"599","Delirious",1,0,0,9,0,0,0,0,0,0,0,-1
"636",1,"636","Butterfly Kiss",2,0,0,14,0,0,0,0,0,0,0,0
"637",1,"637","The Alibi",2,0,0,9,0,0,0,0,0,0,1,0
"639",1,"639","Kiss the Bride",3,0,0,14,0,0,0,0,0,0,0,0
"641",1,"641","A Hare over the Abyss",5,0,0,21,0,0,0,0,0,0,0,-1
"646",1,"646","Griffin & Phoenix",3,0,0,17,0,0,0,0,0,1,0,0
"647",1,"647","The Dog Problem",3,0,0,15,0,0,0,0,0,0,1,-1
"659",1,"659","Loneliness in the Net",4,0,0,21,0,0,0,0,0,0,0,-1
"664",1,"664","The Groomsmen",2,0,0,13,0,0,0,0,0,0,1,0
"672",1,"672","These Foolish Things",3,0,0,20,0,0,0,0,0,0,1,-1
"675",1,"675","Ask the Dust",3,0,0,12,0,0,0,0,0,0,0,-1
"690",1,"690","The Treatment",2,0,0,13,0,0,0,0,0,0,1,0
"691",1,"691","The Hottest State",3,0,0,17,0,0,0,0,0,0,1,0
"693",1,"693","Mr. Fix It",3,0,0,10,0,0,0,0,0,0,0,0
"697",1,"697","Be My Baby",3,0,0,10,0,0,0,0,0,0,0,0
"705",1,"705","I Do",2,0,0,4,0,0,0,0,0,0,0,0
"709",1,"709","Wide Sargasso Sea",3,0,0,17,0,0,0,0,0,0,0,0
"711",1,"711","Zarf Tarek",2,0,0,10,0,0,0,0,0,0,0,0
"712",1,"712","Bella",1,0,0,5,0,0,0,0,0,0,0,0
"722",1,"722","Outsourced",1,0,0,10,0,0,0,0,0,0,0,0
"724",1,"724","The Singer",2,0,0,10,0,0,0,0,0,0,1,0
"733",1,"733","Umrao Jaan",2,0,0,10,0,0,0,0,0,0,0,0
"737",1,"737","The Crown Prince",3,0,0,16,0,0,0,0,0,0,1,0
"738",1,"738","Lady Chatterley",2,0,0,15,0,0,0,0,0,0,0,0
"768",1,"768","Roméo et Juliette",3,0,0,17,0,0,0,0,0,0,0,0
"771",1,"771","Alone With Her",3,0,0,14,0,0,0,0,0,0,0,-1
"791",1,"791","After This Our Exile",4,0,0,20,0,0,0,0,0,0,0,-1
"793",1,"793","She Made Me a Criminal",5,0,0,22,0,0,0,0,0,0,0,-1
"811",1,"811","Bottoms Up",2,0,0,10,0,0,0,0,0,0,0,0
"823",1,"823","Love and Honor",3,0,0,14,0,0,0,0,0,0,0,2
"825",1,"825","Flanders",1,0,0,8,0,0,0,0,0,0,0,0
"829",1,"829","200 Pounds Beauty",3,1,2,17,0,0,0,0,0,0,0,1
"867",1,"867","VGL-Hung!",1,0,0,9,0,0,0,1,1,0,0,0
"870",1,"870","Rafters",1,0,0,7,0,0,0,0,0,0,0,0
"871",1,"871","A Soap",2,0,0,6,0,0,0,0,0,0,0,0
"873",1,"873","Cloud 9",2,1,8,7,0,0,0,0,0,0,0,-1
"880",1,"880","Broken Sky",2,0,0,10,0,0,0,0,0,0,0,-1
"883",1,"883","Surrender, Dorothy",2,0,0,18,0,0,0,0,0,0,0,-1
"888",1,"888","The Restless",2,0,0,12,0,0,0,0,0,0,1,-1
"899",1,"899","Confetti",1,0,0,8,0,0,0,0,0,0,0,0
"914",1,"914","Crashing",1,0,0,8,0,0,0,0,0,0,0,-1
"920",1,"920","Euphoria",1,0,0,8,0,0,0,0,0,0,0,1
"932",1,"932","Мошенники",1,0,0,9,0,0,0,0,0,0,0,0
"940",1,"940","Wild Tigers I Have Known",5,0,0,24,0,0,0,0,0,0,0,-1
"961",1,"961","Coeurs",1,0,0,6,0,0,0,0,0,0,0,0
"963",1,"963","Suburban Mayhem",2,0,0,15,0,0,0,0,0,0,0,0
"976",1,"976","I Don't Want to Sleep Alone",6,0,0,27,1,0,0,0,0,0,0,0
"977",1,"977","Kiss Me Again",3,0,0,13,0,0,0,0,0,0,0,0
"984",1,"984","Something Something... Unakkum Enakkum",4,0,0,38,0,0,0,0,0,0,0,0
"1007",1,"1007","La Vie en Rose",4,0,0,14,0,0,0,0,0,0,0,0
"1009",1,"1009","Stardust",1,0,0,8,0,0,0,0,0,0,0,0
"1010",1,"1010","Good Luck Chuck",3,0,0,15,0,0,0,0,0,0,0,2
"1028",1,"1028","Juno",1,0,0,4,0,0,0,0,0,0,0,0
"1030",1,"1030","Viva Hotbabes Gone Wild",4,0,0,23,0,0,0,0,0,0,0,-1
"1047",1,"1047","Silk",1,0,0,4,0,0,0,0,0,0,0,0
"1053",1,"1053","Lovely, Still",2,0,0,13,0,0,0,0,0,0,0,0
"1067",1,"1067","The Good Night",3,0,0,14,0,0,0,0,0,0,1,1
"1068",1,"1068","Cinderella III: A Twist in Time",6,0,0,31,0,0,1,0,0,0,0,-1
"1075",1,"1075","Knocked Up",2,0,0,10,0,0,0,0,0,0,0,0
"1081",1,"1081","P.S. I Love You",4,0,0,15,0,0,0,0,0,0,0,1
"1085",1,"1085","Hairspray",1,0,0,9,0,0,0,0,0,0,0,0
"1101",1,"1101","Closing the Ring",3,0,0,16,0,0,0,0,0,0,0,0
"1115",1,"1115","Eagle vs Shark",3,0,0,14,0,0,0,0,0,0,0,-1
"1122",1,"1122","Bramadero",1,0,0,9,0,0,0,0,0,0,0,0
"1123",1,"1123","Elizabeth: The Golden Age",4,0,0,25,0,0,1,0,0,0,0,0
"1124",1,"1124","Music and Lyrics",3,0,0,16,0,0,0,0,0,0,0,0
"1131",1,"1131","Death Defying Acts",3,0,0,18,0,0,0,0,0,0,0,-1
"1137",1,"1137","Arn: The Knight Templar",4,0,0,23,0,0,1,0,0,0,0,0
"1140",1,"1140","I Now Pronounce You Chuck & Larry",7,0,0,33,0,0,0,0,0,1,0,0
"1147",1,"1147","The Nanny Diaries",3,0,0,17,0,0,0,0,0,0,1,0
"1159",1,"1159","Northanger Abbey",2,0,0,16,0,0,0,0,0,0,0,0
"1161",1,"1161","Easy Virtue",2,0,0,11,0,0,0,0,0,0,0,2
"1166",1,"1166","Caramel",1,0,0,7,0,0,0,0,0,0,0,0
"1169",1,"1169","Meet Bill",2,0,0,9,0,0,0,0,0,0,0,0
"1170",1,"1170","Shelter",1,0,0,7,0,0,0,0,0,0,0,0
"1171",1,"1171","Across the Universe",3,0,0,19,0,0,0,0,0,0,0,0
"1172",1,"1172","The Cake Eaters",3,0,0,15,0,0,0,0,0,0,1,0
"1173",1,"1173","Mr. Woodcock",2,0,0,12,0,0,0,0,0,0,0,0
"1174",1,"1174","Becoming Jane",2,0,0,13,0,0,0,0,0,0,0,0
"1175",1,"1175","Dan in Real Life",4,0,0,16,0,0,0,0,0,0,0,0
"1176",1,"1176","Virgin Territory",2,0,0,16,0,0,0,0,0,0,0,0
"1179",1,"1179","Feast of Love",3,0,0,13,0,0,0,0,0,0,0,1
"1186",1,"1186","Om Shanti Om",3,0,0,12,0,0,0,0,0,0,0,0
"1197",1,"1197","My Blueberry Nights",3,0,0,19,0,0,0,0,0,0,0,0
"1200",1,"1200","Rabbit Without Ears",3,0,0,19,0,0,0,0,0,0,0,0
"1205",1,"1205","Broken English",2,0,0,14,0,0,0,0,0,0,0,-1
"1206",1,"1206","Lars and the Real Girl",5,0,0,22,0,0,0,0,0,0,0,0
"1227",1,"1227","Young People Fucking",3,0,0,20,0,0,0,0,0,0,0,-1
"1232",1,"1232","Numb",1,0,0,4,0,0,0,0,0,0,0,-1
"1237",1,"1237","Sky Of Love",3,0,0,11,0,0,0,0,0,0,0,1
"1238",1,"1238","Shall We Kiss?",3,0,0,14,0,1,0,0,0,0,0,0
"1252",1,"1252","In the Land of Women",5,0,0,20,0,0,0,0,0,0,0,0
"1253",1,"1253","2 Days in Paris",4,1,2,15,0,0,0,0,0,0,0,0
"1256",1,"1256","The Secret",2,0,0,10,0,0,0,0,0,0,1,0
"1257",1,"1257","Run, Fatboy, Run",3,0,0,16,0,0,0,0,0,0,0,0
"1259",1,"1259","Lust, Caution",2,0,0,13,0,0,0,0,0,0,0,0
"1266",1,"1266","Pleasure Factory",2,0,0,16,0,0,0,0,0,0,0,1
"1276",1,"1276","Alone",1,0,0,5,0,0,0,0,0,0,0,-1
"1277",1,"1277","The Jane Austen Book Club",5,0,0,25,0,0,0,0,0,0,1,0
"1279",1,"1279","Daddy's Little Girls",3,0,0,20,1,0,0,0,0,0,0,-1
"1283",1,"1283","Evening",1,0,0,7,0,0,0,0,0,0,0,0
"1298",1,"1298","Persuasion",1,0,0,10,0,0,0,0,0,0,0,0
"1303",1,"1303","I Think I Love My Wife",6,0,0,22,0,0,0,0,0,0,0,1
"1304",1,"1304","Love Life",2,0,0,9,0,0,0,0,0,0,0,1
"1310",1,"1310","I Could Never Be Your Woman",6,0,0,27,0,0,0,0,0,0,0,0
"1311",1,"1311","Sex Is Zero 2",4,1,14,13,0,0,0,0,0,0,0,0
"1317",1,"1317","Married Life",2,0,0,12,0,0,0,0,0,0,0,0
"1319",1,"1319","Qabil Khushry Qabil Igam",4,0,0,24,0,0,0,0,0,0,0,0
"1332",1,"1332","Once",1,0,0,4,0,0,0,0,0,0,0,0
"1347",1,"1347","Lucky You",2,0,0,9,0,0,0,0,0,0,0,0
"1348",1,"1348","Moving McAllister",2,0,0,17,0,0,0,0,0,0,0,0
"1353",1,"1353","Lost in Beijing",3,0,0,15,0,0,0,0,0,0,0,-1
"1367",1,"1367","Montana Sky",2,0,0,11,0,0,0,0,0,0,0,0
"1370",1,"1370","Angel",1,0,0,5,0,0,0,0,0,0,0,1
"1372",1,"1372","Water Lilies",2,0,0,12,0,0,0,0,0,0,0,0
"1376",1,"1376","Father Knows...",2,0,0,15,0,0,0,0,0,0,0,0
"1381",1,"1381","Sex and Death 101",4,1,16,17,0,0,0,0,0,0,0,-1
"1388",1,"1388","You Kill Me",3,0,0,11,0,0,0,0,0,0,0,-1
"1389",1,"1389","Christmas Cottage",2,0,0,17,0,0,0,0,0,0,0,0
"1393",1,"1393","Mama's Boy",2,0,0,10,1,0,0,0,0,0,0,0
"1400",1,"1400","Barbie Fairytopia: Magic of the Rainbow",6,0,0,39,0,0,1,0,0,0,0,1
"1402",1,"1402","Jack and Jill vs. the World",6,0,0,27,0,0,0,0,0,0,0,0
"1404",1,"1404","Cinta Yang Satu",3,0,0,15,0,0,0,0,0,0,0,0
"1406",1,"1406","He Was a Quiet Man",5,0,0,18,0,0,0,0,0,0,0,0
"1410",1,"1410","The Mermaid of Paradise",4,0,0,23,0,0,0,0,0,0,1,1
"1430",1,"1430","Under the Bombs",3,0,0,15,0,0,0,0,0,0,0,0
"1433",1,"1433","Love in the Time of Cholera",6,0,0,27,0,0,0,0,0,0,0,1
"1448",1,"1448","Georgia Rule",2,0,0,12,0,0,0,0,0,0,0,0
"1461",1,"1461","Feel The Noise",3,0,0,14,0,0,0,0,0,0,0,-1
"1463",1,"1463","Suburban Girl",2,0,0,13,0,0,0,0,0,0,0,0
"1464",1,"1464","Watching the Detectives",3,0,0,23,0,0,0,0,0,0,0,0
"1471",1,"1471","Virgin Snow",2,0,0,11,0,0,0,0,0,0,0,0
"1474",1,"1474","The Loss of a Teardrop Diamond",6,0,0,30,0,0,0,0,0,0,1,-1
"1485",1,"1485","Genova",1,0,0,6,0,0,0,0,0,0,0,0
"1498",1,"1498","Year of the Dog",4,0,0,15,0,0,0,0,0,0,0,0
"1511",1,"1511","Have Dreams, Will Travel",4,0,0,24,0,0,0,0,0,0,0,0
"1512",1,"1512","Blind Date",2,0,0,10,0,0,0,0,0,0,0,-1
"1518",1,"1518","Then She Found Me",4,0,0,17,0,0,0,0,0,0,1,0
"1522",1,"1522","Blonde Ambition",2,0,0,15,0,0,0,0,0,0,0,0
"1537",1,"1537","Erotic Secrets",2,0,0,14,0,0,0,0,0,0,0,0
"1539",1,"1539","Love's Unending Legacy",3,0,0,22,1,0,0,0,0,0,0,0
"1540",1,"1540","Summer Days With Coo",4,0,0,20,0,0,0,0,0,0,0,0
"1546",1,"1546","29... and still a Virgin",5,1,2,24,0,0,0,0,0,0,0,0
"1549",1,"1549","What Love Is",3,0,0,12,0,0,0,0,0,0,0,1
"1550",1,"1550","September Dawn",2,0,0,14,0,0,0,0,0,0,0,1
"1559",1,"1559","Lost in Austen",3,0,0,14,0,0,0,0,0,0,0,-1
"1580",1,"1580","Antarctica",1,0,0,10,0,0,0,0,0,0,0,0
"1587",1,"1587","Rock Haven",2,0,0,10,0,0,0,0,0,0,0,0
"1602",1,"1602","Garage",1,0,0,6,0,0,0,0,0,0,0,0
"1604",1,"1604","Namastey London",2,0,0,15,0,0,0,0,0,0,0,0
"1624",1,"1624","December Boys",2,0,0,13,0,0,0,0,0,0,0,0
"1630",1,"1630","Don't Touch the Axe",4,0,0,19,1,0,0,0,0,0,0,0
"1648",1,"1648","Promise Me This",3,0,0,15,0,0,0,0,0,0,0,1
"1652",1,"1652","The Last Mistress",3,0,0,17,0,0,0,0,0,0,1,-1
"1658",1,"1658","Normal Adolescent Behavior",3,0,0,26,0,0,0,0,0,0,0,0
"1659",1,"1659","Kiss the Bride",3,0,0,14,0,0,0,0,0,0,0,0
"1664",1,"1664","The Romance of Astrea and Celadon",6,0,0,33,0,0,0,0,0,0,1,0
"1679",1,"1679","Lady Bar",2,0,0,8,0,0,0,0,0,0,0,0
"1684",1,"1684","Fishtales",1,0,0,9,0,0,0,0,0,0,0,0
"1693",1,"1693","Sex and Breakfast",3,0,0,17,0,0,0,0,0,0,0,0
"1724",1,"1724","Safehouse",1,0,0,9,0,0,0,0,0,0,0,0
"1731",1,"1731","Wild Chicks in Love",4,0,0,19,0,0,0,0,0,0,0,0
"1736",1,"1736","Shanghai Kiss",2,0,0,13,0,0,0,0,0,0,0,0
"1739",1,"1739","Arranged",1,0,0,8,0,0,0,0,0,0,0,0
"1742",1,"1742","Everybody Wants to Be Italian",5,0,0,29,0,0,0,0,0,0,0,0
"1758",1,"1758","Holiday in Handcuffs",3,0,0,20,0,0,0,0,0,0,0,0
"1766",1,"1766","Safe Harbour",2,0,0,12,0,0,0,0,0,0,0,1
"1770",1,"1770","Love Songs",2,0,0,10,0,0,0,0,0,0,0,1
"1771",1,"1771","Life in a... Metro",4,0,0,18,0,0,0,0,0,0,0,0
"1784",1,"1784","Americanizing Shelley",2,0,0,21,0,0,0,0,0,0,0,0
"1791",1,"1791","Purple Violets",2,0,0,14,0,0,0,0,0,0,0,0
"1799",1,"1799","Travelling with Pets",3,0,0,20,0,0,0,0,0,0,0,0
"1804",1,"1804","Jump In!",2,0,0,8,0,0,0,0,1,0,0,0
"1808",1,"1808","Outlanders",1,0,0,10,0,0,0,0,0,0,0,0
"1809",1,"1809","Fighter",1,0,0,7,0,0,0,0,0,0,0,0
"1812",1,"1812","Naked Boys Singing",3,0,0,18,0,0,0,0,0,0,0,0
"1825",1,"1825","I'm Reed Fish",3,0,0,13,1,0,0,0,0,0,0,0
"1842",1,"1842","In Search of a Midnight Kiss",6,0,0,28,0,0,0,0,0,0,0,0
"1845",1,"1845","The Valley of Light",4,0,0,19,0,0,0,0,0,0,1,0
"1857",1,"1857","Dakota Skye",2,0,0,11,0,0,0,0,0,0,0,0
"1866",1,"1866","Billa",1,0,0,5,0,0,0,0,0,0,0,0
"1869",1,"1869","The Actress",2,0,0,11,0,0,0,0,0,0,1,0
"1892",1,"1892","VGL-Hung!",1,0,0,9,0,0,0,1,1,0,0,0
"1901",1,"1901","Taming Tammy",2,0,0,12,0,0,0,0,0,0,0,0
"1910",1,"1910","The Runaways",2,0,0,12,0,0,0,0,0,0,1,0
"1912",1,"1912","Boy Culture",2,0,0,11,0,0,0,0,0,0,0,0
"1914",1,"1914","Je crois que je l'aime",5,0,0,22,1,0,0,0,0,0,0,0
"1915",1,"1915","Jab We Met",3,0,0,10,0,0,0,0,0,0,0,0
"1918",1,"1918","The Poet",2,0,0,8,0,0,0,0,0,0,1,0
"1924",1,"1924","In Tranzit",2,0,0,10,0,0,0,0,0,0,0,0
"1928",1,"1928","Partition",1,0,0,9,0,0,0,0,0,0,0,0
"1945",1,"1945","Far North",2,0,0,9,0,0,0,0,0,0,0,0
"1948",1,"1948","Crashing",1,0,0,8,0,0,0,0,0,0,0,-1
"1969",1,"1969","Arn - The Full Story",5,0,0,20,0,0,0,1,0,0,0,0
"1985",1,"1985","Yella",1,0,0,5,0,0,0,0,0,0,0,0
"1992",1,"1992","Still Life",2,0,0,10,0,0,0,0,0,0,0,0
"1994",1,"1994","Strictly Sexual",2,0,0,15,0,0,0,0,0,0,0,-1
"1996",1,"1996","Night Nurses",2,0,0,12,0,0,0,0,0,0,0,0
"1998",1,"1998","Jellyfish",1,0,0,9,0,0,0,0,0,0,0,0
"1999",1,"1999","Yes Man",2,0,0,7,0,0,0,0,0,0,0,0
"2007",1,"2007","What Happens in Vegas",4,0,0,21,0,0,0,0,0,0,0,0
"2010",1,"2010","Step Up 2: The Streets",5,1,10,22,0,0,1,0,0,0,0,0
"2011",1,"2011","The Reader",2,0,0,10,0,0,0,0,0,0,1,0
"2013",1,"2013","The Secret of Moonacre",4,0,0,22,0,0,0,0,0,0,1,0
"2015",1,"2015","Definitely, Maybe",2,0,0,17,0,0,0,0,0,0,0,0
"2023",1,"2023","Mamma Mia!",2,0,0,10,0,0,0,0,1,0,0,0
"2024",1,"2024","27 Dresses",2,1,2,10,0,0,0,0,0,0,0,0
"2051",1,"2051","Forgetting Sarah Marshall",3,0,0,25,0,0,0,0,0,0,0,0
"2055",1,"2055","Ghost Town",2,0,0,10,0,0,0,0,0,0,0,0
"2058",1,"2058","Leatherheads",1,0,0,12,0,0,0,0,0,0,0,0
"2060",1,"2060","Bedtime Stories",2,0,0,15,0,0,0,0,0,0,0,0
"2064",1,"2064","Lovely, Still",2,0,0,13,0,0,0,0,0,0,0,0
"2065",1,"2065","The Duchess",2,0,0,11,0,0,0,0,0,0,1,0
"2068",1,"2068","Vicky Cristina Barcelona",3,0,0,24,0,0,0,0,0,0,0,0
"2098",1,"2098","Nick and Norah's Infinite Playlist",5,0,0,34,1,0,0,0,0,0,0,0
"2100",1,"2100","The Women",2,0,0,9,0,0,0,0,0,0,1,0
"2101",1,"2101","How to Lose Friends & Alienate People",7,0,0,37,0,0,0,0,0,1,0,-2
"2105",1,"2105","High School Musical 3: Senior Year",6,1,22,34,0,0,1,0,0,0,0,0
"2107",1,"2107","The Prince & Me 3: A Royal Honeymoon",8,1,18,36,0,0,1,0,0,1,1,0
"2120",1,"2120","Sex Drive",2,0,0,9,0,0,0,0,0,0,0,0
"2135",1,"2135","Sex and the City",4,0,0,16,0,0,0,0,0,0,0,0
"2137",1,"2137","The House Bunny",3,0,0,15,0,0,0,0,0,0,1,0
"2140",1,"2140","My Sassy Girl",3,0,0,13,0,0,0,0,0,0,0,0
"2145",1,"2145","Over Her Dead Body",4,0,0,18,0,0,0,0,0,0,0,-1
"2148",1,"2148","Elegy",1,0,0,5,0,0,0,0,0,0,0,0
"2155",1,"2155","Make It Happen",3,0,0,14,0,0,0,0,0,0,0,0
"2156",1,"2156","Revolutionary Road",2,0,0,18,0,0,0,0,0,0,0,1
"2160",1,"2160","Four Christmases",2,0,0,16,0,0,0,0,0,0,0,0
"2166",1,"2166","Jolene",1,0,0,6,0,0,0,0,0,0,0,0
"2171",1,"2171","Angus, Thongs and Perfect Snogging",5,0,0,34,0,0,0,0,0,0,0,1
"2177",1,"2177","Easy Virtue",2,0,0,11,0,0,0,0,0,0,0,2
"2187",1,"2187","Nights in Rodanthe",3,0,0,18,0,0,0,0,0,0,0,0
"2194",1,"2194","Miss Pettigrew Lives for a Day",6,0,0,30,0,0,0,0,0,0,0,-1
"2196",1,"2196","Fame",1,0,0,4,0,0,0,0,0,0,0,1
"2205",1,"2205","The Accidental Husband",3,0,0,22,0,0,0,0,0,0,1,-1
